"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
1,,-7.9999616e-3,MOSI,1,0x00,OK
2,,-7.9905152e-3,MOSI,2,0x8800,OK
3,,-7.9905152e-3,MISO,2,0x0004,OK
4,,-7.9710144e-3,MOSI,2,0x8800,OK
5,,-7.9710144e-3,MISO,2,0x0004,OK
6,,-7.9515136e-3,MOSI,2,0x8800,OK
7,,-7.9515136e-3,MISO,2,0x0004,OK
8,,-7.9320192e-3,MOSI,2,0x8800,OK
9,,-7.9320192e-3,MISO,2,0x0004,OK
10,,-7.9125184e-3,MOSI,2,0x8800,OK
11,,-7.9125184e-3,MISO,2,0x0004,OK
12,,-7.8930176e-3,MOSI,2,0x8800,OK
13,,-7.8930176e-3,MISO,2,0x0004,OK
14,,-7.8735168e-3,MOSI,2,0x8800,OK
15,,-7.8735168e-3,MISO,2,0x0004,OK
16,,-7.8540160e-3,MOSI,2,0x8800,OK
17,,-7.8540160e-3,MISO,2,0x0004,OK
18,,-7.8345152e-3,MOSI,2,0x8800,OK
19,,-7.8345152e-3,MISO,2,0x0004,OK
20,,-7.8150144e-3,MOSI,2,0x8800,OK
21,,-7.8150144e-3,MISO,2,0x0004,OK
22,,-7.7955136e-3,MOSI,2,0x8800,OK
23,,-7.7955136e-3,MISO,2,0x0004,OK
24,,-7.7760192e-3,MOSI,2,0x8800,OK
25,,-7.7760192e-3,MISO,2,0x0004,OK
26,,-7.5930176e-3,MOSI,2,0x8800,OK
27,,-7.5930176e-3,MISO,2,0x0004,OK
28,,-7.5735168e-3,MOSI,2,0x8800,OK
29,,-7.5735168e-3,MISO,2,0x0004,OK
30,,-7.5540160e-3,MOSI,2,0x8800,OK
31,,-7.5540160e-3,MISO,2,0x0004,OK
32,,-7.5345152e-3,MOSI,2,0x8800,OK
33,,-7.5345152e-3,MISO,2,0x0004,OK
34,,-7.5150144e-3,MOSI,2,0x8800,OK
35,,-7.5150144e-3,MISO,2,0x0004,OK
36,,-7.4955136e-3,MOSI,2,0x8800,OK
37,,-7.4955136e-3,MISO,2,0x0004,OK
38,,-7.4760192e-3,MOSI,2,0x8800,OK
39,,-7.4760192e-3,MISO,2,0x0004,OK
40,,-7.4565184e-3,MOSI,2,0x8800,OK
41,,-7.4565184e-3,MISO,2,0x0004,OK
42,,-7.4370176e-3,MOSI,2,0x8800,OK
43,,-7.4370176e-3,MISO,2,0x0004,OK
44,,-7.4175168e-3,MOSI,2,0x8800,OK
45,,-7.4175168e-3,MISO,2,0x0004,OK
46,,-7.3980160e-3,MOSI,2,0x8800,OK
47,,-7.3980160e-3,MISO,2,0x0004,OK
48,,-7.3785152e-3,MOSI,2,0x8800,OK
49,,-7.3785152e-3,MISO,2,0x0004,OK
50,,-7.3590144e-3,MOSI,2,0x8800,OK
51,,-7.3590144e-3,MISO,2,0x0004,OK
52,,-7.3395136e-3,MOSI,2,0x8800,OK
53,,-7.3395136e-3,MISO,2,0x0004,OK
54,,-7.3200192e-3,MOSI,2,0x8800,OK
55,,-7.3200192e-3,MISO,2,0x0004,OK
56,,-7.3005184e-3,MOSI,2,0x8800,OK
57,,-7.3005184e-3,MISO,2,0x0004,OK
58,,-7.2810176e-3,MOSI,2,0x8800,OK
59,,-7.2810176e-3,MISO,2,0x0004,OK
